i,v1,v2,v3,v4,v5,v6,ii,iii,avr,avl,avf
3.310969,4.013489,3.1370406,2.9743035,2.8332777,2.4006793,3.7494793,527.0,523.6890308856964,-265.1554845571518,-260.1890308856964,525.3445154428482
3.3108683,4.0133204,3.1370406,2.9805074,2.833278,2.4006822,3.7912142,528.0,524.6891317367554,-265.6554341316223,-260.68913173675537,526.3445658683777
3.3112366,4.01335,3.1370406,2.9778266,2.833278,2.400683,3.796271,528.0,524.6887633800507,-265.65561830997467,-260.68876338005066,526.3443816900253
3.3118966,4.0149307,3.1370406,2.9671044,2.833278,2.4006817,3.7983236,528.0,524.6881034374237,-265.65594828128815,-260.6881034374237,526.3440517187119
3.311266,4.0135484,3.137041,2.9695969,2.8332784,2.4006817,3.7983632,528.0,524.6887340545654,-265.6556329727173,-260.68873405456543,526.3443670272827
3.3163424,4.0159917,3.137052,2.9690738,2.833278,2.400683,3.7984474,528.0,524.6836576461792,-265.6581711769104,-260.6836576461792,526.3418288230896
3.3184707,4.013779,3.137044,2.9546149,2.8332782,2.400683,3.7984393,528.0,524.6815292835236,-265.6592353582382,-260.68152928352356,526.3407646417618
3.313529,4.012719,3.1370423,2.9211953,2.8332782,2.4006815,3.7984588,528.0,524.6864709854126,-265.6567645072937,-260.6864709854126,526.3432354927063
3.316353,4.0140185,3.137041,2.8627706,2.833278,2.400683,3.7984414,527.0,523.6836469173431,-265.15817654132843,-260.18364691734314,525.3418234586716
3.3132017,4.014393,3.1370413,2.8461084,2.8332782,2.4006827,3.7984402,526.0,522.6867983341217,-264.65660083293915,-259.6867983341217,524.3433991670609
3.3160367,4.01395,3.137041,2.8562949,2.833278,2.400683,3.7984397,528.0,524.6839632987976,-265.6580183506012,-260.6839632987976,526.3419816493988
3.3123646,4.01502,3.1370418,2.8556948,2.833278,2.4006817,3.7984457,529.0,525.6876354217529,-266.15618228912354,-261.18763542175293,527.3438177108765
3.314613,4.0156074,3.1370425,2.860254,2.833278,2.4006817,3.798434,529.0,525.6853868961334,-266.1573065519333,-261.1853868961334,527.3426934480667
3.311811,4.014218,3.1370537,2.8626945,2.833278,2.400683,3.7984326,529.0,525.6881890296936,-266.1559054851532,-261.1881890296936,527.3440945148468
3.3113112,4.0141606,3.1370459,2.8707986,2.833278,2.400683,3.7984426,532.0,528.6886887550354,-267.6556556224823,-262.6886887550354,530.3443443775177
3.3111343,4.0169067,3.137047,2.9213357,2.833278,2.4006815,3.798448,531.0,527.6888656616211,-267.15556716918945,-262.1888656616211,529.3444328308105
3.3109162,4.016665,3.1370447,2.9180875,2.833278,2.400683,3.7984414,529.0,525.689083814621,-266.1554580926895,-261.189083814621,527.3445419073105
3.3109605,4.016632,3.1370432,2.8661146,2.833278,2.400683,3.79845,527.0,523.6890394687653,-265.15548026561737,-260.18903946876526,525.3445197343826
3.3109248,4.0161753,3.1370425,2.853315,2.833278,2.400683,3.7984443,527.0,523.6890752315521,-265.15546238422394,-260.1890752315521,525.3445376157761
3.3109322,4.014053,3.1370425,2.8896377,2.833278,2.4006817,3.798437,526.0,522.6890678405762,-264.6554660797119,-259.6890678405762,524.3445339202881
3.3109245,4.014054,3.1370437,2.9021583,2.833278,2.4006817,3.7984285,527.0,523.6890754699707,-265.15546226501465,-260.1890754699707,525.3445377349854
3.3110154,4.013127,3.1370535,2.878325,2.833278,2.4006815,3.798433,529.0,525.6889846324921,-266.15550768375397,-261.18898463249207,527.344492316246
3.3109195,4.0137877,3.1370454,2.8509324,2.833278,2.400683,3.7984154,528.0,524.6890804767609,-265.65545976161957,-260.68908047676086,526.3445402383804
3.3108742,4.012484,3.1370425,2.853256,2.833278,2.4006817,3.7983677,529.0,525.6891257762909,-266.15543711185455,-261.1891257762909,527.3445628881454
3.3109465,4.01252,3.137042,2.866205,2.833278,2.4006815,3.7983701,529.0,525.6890535354614,-266.1554732322693,-261.1890535354614,527.3445267677307
3.310876,4.0122066,3.1370416,2.898935,2.833278,2.4006815,3.7983735,527.0,523.6891241073608,-265.1554379463196,-260.18912410736084,525.3445620536804
3.310877,4.0122485,3.137041,2.8537679,2.833278,2.4006815,3.798341,528.0,524.689122915268,-265.655438542366,-260.68912291526794,526.344561457634
3.3108711,4.0123487,3.1370416,2.8662267,2.833278,2.4006817,3.7982912,544.0,540.6891288757324,-273.6554355621338,-268.6891288757324,542.3445644378662
3.3148193,4.0317683,3.1370502,2.9341137,2.833278,2.4006817,3.7984989,565.0,561.6851806640625,-284.15740966796875,-279.1851806640625,563.3425903320312
3.3867033,4.0316463,3.1371312,2.9141846,2.833278,2.4006817,3.7985313,585.0,581.6132967472076,-294.1933516263962,-289.11329674720764,583.3066483736038
3.4230595,3.9352703,3.140212,3.0499086,2.8332777,2.4006815,3.7986493,562.0,558.576940536499,-282.7115297317505,-277.576940536499,560.2884702682495
3.3539193,4.0315647,3.1438313,2.95966,2.8332777,2.4006817,3.7985349,507.0,503.6460807323456,-255.1769596338272,-250.14608073234558,505.3230403661728
3.3145804,3.8354373,3.137041,2.8746746,2.885287,2.4006815,3.800541,499.0,495.68541955947876,-251.15729022026062,-246.18541955947876,497.3427097797394
3.3155622,3.8042088,3.137041,2.8668299,2.8352246,2.4006817,3.801571,516.0,512.68443775177,-259.657781124115,-254.68443775177002,514.342218875885
3.3113365,3.833682,3.137041,2.9231052,2.8667974,2.4006815,3.8246284,524.0,520.688663482666,-263.655668258667,-258.688663482666,522.344331741333
3.3269482,4.0313635,3.1371844,2.8143153,2.833278,2.4006817,3.8196146,526.0,522.6730518341064,-264.6634740829468,-259.67305183410645,524.3365259170532
3.3108692,3.8328462,2.9529884,2.8682892,2.8094265,2.3469934,3.8252714,528.0,524.689130783081,-265.6554346084595,-260.68913078308105,526.3445653915405
3.3108644,3.8041692,2.953014,2.85866,2.8483083,2.3471365,3.8051426,530.0,526.6891355514526,-266.6554322242737,-261.68913555145264,528.3445677757263
3.3108642,3.8041692,2.9569807,2.8606358,2.8700044,2.2110777,3.7975676,531.0,527.6891357898712,-267.1554321050644,-262.1891357898712,529.3445678949356
3.2953212,4.0317307,3.1370418,3.1048431,2.8407187,2.3738008,3.7981696,531.0,527.70467877388,-267.14766061306,-262.20467877388,529.35233938694
3.2992427,3.7327387,2.95294,2.7949784,2.8483117,2.36682,3.794348,532.0,528.7007572650909,-267.64962136745453,-262.70075726509094,530.3503786325455
3.3108644,3.786068,2.9529889,2.9293952,2.8332925,2.3470197,3.8058186,532.0,528.6891355514526,-267.6554322242737,-262.68913555145264,530.3445677757263
3.3081822,3.732543,2.953047,2.907897,2.8431969,2.3440516,3.7379775,532.0,528.6918177604675,-267.65409111976624,-262.69181776046753,530.3459088802338
3.3108644,3.9240212,3.1370363,3.0428152,2.8399656,2.347023,3.7900946,533.0,529.6891355514526,-268.1554322242737,-263.18913555145264,531.3445677757263
3.3099377,3.9240186,3.1370065,2.873976,2.8504047,2.4006813,3.5223763,534.0,530.6900622844696,-268.6549688577652,-263.6900622844696,532.3450311422348
3.3108633,3.9240823,3.1370387,2.8662782,2.833337,2.3470378,3.531255,535.0,531.6891367435455,-269.15543162822723,-264.18913674354553,533.3445683717728
3.2833729,3.91897,3.1366272,2.7876427,2.842841,2.3536625,3.5168893,536.0,532.7166271209717,-269.64168643951416,-264.7166271209717,534.3583135604858
3.3077264,3.9240184,3.1370406,2.9998612,2.8333433,2.3476927,3.4879665,537.0,533.6922736167908,-270.1538631916046,-265.19227361679077,535.3461368083954
3.3095388,3.9240305,3.1370406,2.9987535,2.8332784,2.3470252,3.4437406,537.0,533.6904611587524,-270.1547694206238,-265.19046115875244,535.3452305793762
3.325328,4.011925,3.1370406,2.9726882,2.833278,2.3470345,3.565058,539.0,535.6746718883514,-271.1626640558243,-266.17467188835144,537.3373359441757
3.4191446,4.0125146,3.1369848,2.9244714,2.833278,2.3602984,3.471034,541.0,537.5808553695679,-272.20957231521606,-267.08085536956787,539.2904276847839
3.4274874,4.0120573,3.1370382,3.0000358,2.833278,2.3602986,3.6204054,543.0,539.572512626648,-273.213743686676,-268.07251262664795,541.286256313324
3.42482,4.012045,3.1370416,3.0045705,2.8332777,2.3603158,3.6571288,546.0,542.5751800537109,-274.71240997314453,-269.57518005371094,544.2875900268555
3.3820486,4.0120616,3.1370668,2.9022207,2.8332777,2.4134653,3.7974405,547.0,543.6179513931274,-275.1910243034363,-270.11795139312744,545.3089756965637
3.4166422,4.030312,3.137041,2.994753,2.83458,2.413465,3.798334,548.0,544.5833578109741,-275.70832109451294,-270.5833578109741,546.2916789054871
3.3331041,4.031408,3.1370544,3.0133626,2.8332777,2.40236,3.7984726,551.0,547.666895866394,-277.166552066803,-272.16689586639404,549.333447933197
